Tomáš Dvořák;10,62;8,07;16,57;2;47,74;13,8;45,51;5;68,53;4:35,13
Erki Nool;10,6;7,63;14,9;2,03;46,23;14,4;43,4;5,4;67,01;4:29,58
Dean Macey;10,72;7,59;15,41;2,15;46,21;14,34;46,96;4,7;54,61;4:29,05
Attila Zsivoczky;10,97;6,99;14,65;2,18;48,86;15,19;47,23;4,9;62,43;4:23,23
Lev Lobodin;10,74;7,15;16,16;2,03;48,78;14,42;44,95;5,1;54,68;4:31,77
Jiří Ryba;11,14;7,17;13,76;2,09;48,76;14,33;47,4;5,1;56,04;4:20,66
Stefan Schmid;10,87;7,43;13,55;1,97;47,86;14,57;43,16;5,1;65,13;4:33,98
Laurent Hernu;10,97;7,31;14,43;2,03;49,31;14,01;43,93;5,1;59,9;4:37,41
Oleksandr Yurkov;10,93;7,37;15,15;1,97;49,45;14,41;48,1;5;58,63;4:38,43
Roman Šebrle;10,91;7,67;15,43;2;48,18;16,97;47,41;4,6;65,75;4:31,04
Michael Nolan;11,29;6,98;15,17;1,97;49,86;14,86;50,3;4,9;64,57;4:31,44
Mário Aníbal;10,84;7,11;15,35;2;48,46;14,45;44,22;5;53,23;4:36,64
Zsolt Kürtösi;11,03;7,17;15,34;2,06;48,68;14,5;45,2;4,7;58,87;4:49,61
Benjamin Jensen;10,79;7,08;14,47;1,88;48,27;14,22;39,89;5,3;56,51;4:36,45
Phil McMullen;11,39;6,94;15,12;1,97;49,08;15,09;48,85;5,1;53,5;4:20,84
Chiel Warners;10,9;7,48;14,47;1,94;48,28;14,36;44,93;4,3;55,89;4:48,33
Kip Janvrin;11,17;6,72;13,45;1,88;48,26;14,77;43,39;5;57,96;4:19,26
